Change component parameters: Designator = "U5" ("U5"); Footprint = "SOIC127P600X175-8N"; UniqueID = "\WTRNQGEK\USLWKCZZ\GDDGJIOE" ("\WTRNQGEK\USLWKCZZ\GDDGJIOE")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Reference Product Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://robu.in/product/acs712-30a-range-current-sensor-module-hall-sensor/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Date drawn"; Value = "16/09/24"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Distributor 1"; Value = "Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Distributor 1 Part no."; Value = "620-1190-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Distributor 2"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Distributor 2 part no."; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drawn by"; Value = "Varun Chakravarthy"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FIT/NFIT"; Value = "FIT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "onsemi"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part no."; Value = "ACS712ELCTR-20A-T"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "?317.68"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price (Quantity)"; Value = "?194.98210(100+)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reference(datasheet)"; Value = "https://www.allegromicro.com/~/media/Files/Datasheets/ACS712-Datasheet.ashx"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Arrow Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = "Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "BCW30LT1G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = "BC557ATA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "SENSOR CURRENT HALL 20A AC/DC"; VariantName = "[No Variations]"
