Altium Designer Pick and Place Locations
D:\GITHUB\GIT_HUB\00001-2-HAR-A-01\PCB_Deliverables\2-Gerbers\Pick Place\Pick Place for PCB-00001-A-01.csv

========================================================================================================================
File Design Information:

Date:       15-10-24
Time:       09:07
Revision:   bec63734a0487ffa854fb48681bb84741b2115d9
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U10","PC81710NIP1B","TopLayer","SOP_PC8171_SCT-M","64.8970","44.0690","270","Optoisolator Transistor Output 5000Vrms 1 Channel 4-SMD"
"U9","PC81710NIP1B","TopLayer","SOP_PC8171_SCT-M","57.0230","44.1960","270","Optoisolator Transistor Output 5000Vrms 1 Channel 4-SMD"
"R28","ERJ-6GEYJ101V","TopLayer","RES0805","70.5737","48.4759","0","100 Ohms ±5% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200 Thick Film"
"R27","ERJ-6GEYJ101V","TopLayer","RES0805","49.5301","43.8151","270","100 Ohms ±5% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200 Thick Film"
"U8","SIM800L","TopLayer","SIM800L-CORE","14.9860","61.3540","90","miniature cellular GSM modem"
"U7","ESP32-WROOM-32E-N4","TopLayer","ESP32­WROOM­32E_EXP","70.8406","61.3277","0","Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 +EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Integrated, Trace Surface Mount"
"U6","H11AA1","TopLayer","DIP762W50P254L730H410Q6","87.7570","46.6090","90","Optoisolator Transistor with Base Output 5000Vrms 1 Channel 6-DIP"
"U5","ACS712ELCTR-20A-T","TopLayer","SOIC127P600X175-8N","106.8070","46.8630","180","Current Sensor 20A 1 Channel Hall Effect, Open Loop Bidirectional 8-SOIC (0.154", 3.90mm Width)"
"U4","CD4017BE","TopLayer","DIP794W45P254L1969H508Q16","10.1930","23.8760","0","Counter IC Counter, Decade 1 Element 10 Bit Positive, Negative 16-PDIP"
"U3","RP170N331D-TR-FE","TopLayer","SOT-23-5SC-74A_PE-SOT-23-5-180326_NMD-M","41.0040","57.1330","0","Linear Voltage Regulator IC Positive Fixed 1 Output 300mA SOT-23-5"
